MESSAGE,RESPONSE
Is it possible to be requested to be bailed out without a bailor by depositing a sum of money (unconditional bail)?,"It depends on the terms of the bail offered by the Court. If the Court requires a surety, then this must be complied with."
How long does a remand process take?,"In cases where no bail is offered or bail is offered but not taken up, the accused person will be remanded in the Prison until the bail is furnished or the case concluded, whichever is earlier"
my son have been detain for robbery since wednesday by the police. it has been more than 48 hrs. I would like to know is this normal procedure or who should i seek. Thanks.,"It is not normal for your son to be detained more than 48 hours. The police are required to charge him and apply for him to be held for longer. We suggest that you consult a lawyer immediately or you should check with the police. If the potential offence is robbery, the police are likely to have applied to Court to detain him for further investigation."
"My husband was arrested for loanshark activities, do I need to engage a lawyer?","It depends on the facts. However, a lawyer would generally be able to advise you and your husband on his rights and how to best mitigate or defend the situation."
hi just want to know if commited an offence of 376 penal code..is it possible to bail out..and how much the amount?,"It is possible for the accused person to be bailed out (although this is up to the court). The amount depends on the specific facts of the case, but it would be substantial."
"my mum has been arrested for attempted suicide, how long will she be arrested? Is there a way to shorten it?","We are very sorry to hear about this. Section 309 of the Penal Code sets out the fine and jail terms of the offence:Attempt to commit suicide309. Whoever attempts to commit suicide, and does any act towards the commission of such offence, shall be punished with imprisonment for a term which may extend to one year, or with fine, or with both.However, you may wish to point out mitigating circumstances which may lead to a more lenient sentence."
"I have read an overseas website and there was conditional bail and unconditional bail.Does it occur in Singapore? My university friend was arrested for upskirting. However, he did not need to make regular trips to the police","Yes, it is possible to be granted conditional and unconditional bail."
"I initially denied any wrongdoings during first 48 hours of investigation. One week later, I decided to cooperate. Will any actions be taken against me?","It is not clear what you mean by ""any actions"". The decision whether to prosecute you is made by the public prosecutor who will take into account all relevant factors. The fact that you did not cooperate during the initial 48 hours is merely one factor."
how many times can someone be remanded for up to 48 hours?,"You can only be remanded for 48 hours in the first instance. Thereafter, you have to be produced before a Magistrate's Court where the Magistrate will decide whether to remand you further."
Can I request to see a pro bono lawyer during police investigation? There is no contact with the outside world there. What should I do instead of answering wrongly.,"As the law currently stands, there is no right to consult a lawyer during the first 48 hours of the investigation. Thereafter, you may be able to consult a lawyer but this is a question of fact. Separately, there is no right to a pro bono lawyer - if you cannot afford a lawyer, the state will only provide you with a lawyer in the event that you are facing a capital charge. It is difficult to advise as to how you should answer as that is a question of fact."
"I am relased on bail after 24h @ CPIB. I am sure no offence was committed. Its been a month no news, what should i expect?","You may want to contact the IO to find out more. Unfortunately, there is no limitation period for criminal prosecutions. However, no news is good news in this situation."
"For posting bail, if I cannot raise the money, what else can I produce to post bail?","Unless otherwise ordered by the Court, you may be able to pledge personal properties such as household items, jewellery and watches (up to S$15,000 in value). These items must belong to the bailor (not the accused), it may not be on hire purchase and the value will be determined by the Bail Centre."
What is bail review? Do I need to engage a lawyer for bail review?,It is a hearing to determine whether the amount of bail offered is too high. You can handle this yourself although it may be useful for you to consult a lawyer first. You may find this resource useful: http://app.subcourts.gov.sg/criminal/page.aspx?pageid=64541#faq2-1
I am under police investigation and unemployed. is this the right time to file divorce from abusive hubby  whic is my bailor?,It depends on whether you can find an alternative bailor. You may want to consider approaching the Legal Aid Bureau for assistance.
Can I stand as bailor or surety for my relative?,"Anyone who is above 21 years old, not a bankrupt and does not have any pending criminal proceedings against him or her can stand as a surety, subject to the discretion of the court."
What is the procedure for granting bail?,"An accused may be offered police bail after his arrest and before he is charged in Court. Once the accused is formally charged in Court and until the case is concluded, the police bail granted may be extended or fresh bail may be offered at the first mention by the Court. Once bail is granted, the accused will be remanded until the bail bond is executed. If the bail offered is not processed within the same day, the accused will be remanded (imprisoned) until his next appearance in Court unless someone agrees to stand bail for him. If a person agrees to be the bailor, he would have to go to the Bail Centre during its processing hours. The accused will be released from remand once the bail is furnished."
Who can grant bail?,"The Court, a police officer who is not below the rank of sergeant and other law enforcement officers are empowered to grant bail."
How much is bail?,"The amount of bail depends very much on the seriousness of the offence. Bail may be increased or reduced at any time by applying to the Court. If the police asks for bail in the sum of S$5,000.00 or more, the ability (means) of the bailor to stand bail will first of all have to be checked by the police and reported to the Court before granting bail. A bailor may show his ability to stand bail by depositing cash, or producing fixed deposit certificates, bank passbooks, car log books, title deeds to a property, share certificates or valuables."
When may a person be released on bail?,"While most offences allow the accused the right to bail, some offences are non-bailable. However; a Magistrate or District Judge has the discretion to grant bail even though the offence is non-bailable unless the offence is one where the punishment is death or life imprisonment."
What is bail?,"Bail is a security either in cash or by an undertaking given to the Court or the police to ensure that the person released on bail (the accused) attends Court on all subsequent dates until the case is over.. The person furnishing such a security is called a bailor or a surety. When a person agrees to be a bailor or a surety, he is said to be ""standing bail"". Depending on the amount, the Court or the police officer may allow more than one bailor for the person bailed.The surety or sureties who procure the release of the accused become responsible for his appearance when required at the stipulated time and place. The responsibility of a surety to ensure the attendance of the accused in court is very serious."
What happens after I am arrested?,"On arrest, you may be searched and brought to a police station for questioning. Pending questioning, you may be detained in a lock-up. You will be required to surrender whatever you have on you. A list of these things will be made and you will be asked to confirm it. A copy of this list will be given to you.You may be detained for a maximum period of 48 hours from the time of your arrest. If the officer wants to detain you for more than 48 hours, he must bring you to Court. During this period you may be taken out for searches. In Court, the officer must tell the Judge why he wants to detain you further. The Judge will consider the reasons given and then decide whether you are to be further detained. If the police or other officers do not wish to detain you for more than 48 hours they will let you go on a personal promise or put you on police bail to make sure you go back to the station or attend Court when told to do so."
Is being a camgirl or webcam model in Singapore illegal? I understand that camgirls are known to be explicit but what if I am a non-nude camgirl? Like I dont go full nude and just talk & interact with my viewers in a live stream and get paid money for the effort.,"There is no law yet governing webcam models in Singapore. Appearing naked in public view despite being within the confines of your own home is criminalised by section 27A of the Miscellaneous Offences (Public Order and Nuisance) Act, though this should not apply in your situation."
Is it illegal to film you and your partner engaging in sexual activities and keeping the videos?,"Under the Undesirable Publications Act, the Penal Code and the Films Act, it is illegal to keep, distribute or sell pornographic materials. For more information, see https://singaporelegaladvice.com/law-articles/what-is-the-law-on-pornography-in-singapore/."
Will i be in trouble with the police or face legal repercussions if found in possession of a banned book for example? once a jolly hangman? ?,"It is an offence under the Undesirable Publications Act to possess a banned book or extracts thereof without reasonable excuse, and you may be fined not exceeding $2,000 or imprisoned not exceeding 12 months or both. Regarding your example, however, there are currently only 17 prohibited publications under the Act and Once a Jolly Hangman is not one of them."
"I forged some of my MCs, I was fired without notice for this. HR wants me to pay back the salary for all sick leaves taken in 2 years of work. Payment to be done in less then a week. Have I committed a crime? What's the implications for me if they",You should only be liable to account for all sick leaves taken if they were indeed taken on the basis of forged MCs. Genuine sick leaves should not render you liable.
Bring a lit up cigeratte in lift but not smoking it . is it illegal?,It would be illegal since the prohibition of smoking does not depend upon there being an actual act of inhalation. A lit cigarette would be sufficient to cause inconvenience to others and trigger any smoke alarm.
"What is the difference between section 323 & 325? My boyfriend was charged section 325, his police did not mention anything but saying they have evidence to proof my bf was hurting other parties.","Section??325 (of the Penal Code) concerns a more serious type of hurt than s??323, and, as a result, carries with it greater penalties (10 years and fine/caning, as opposed to 2 years and/or fine up to $5,000 under s??323.) Section??320 of the Penal Code designates certain types of hurt which constitute  ?grievous hurt? , including permanent privation of the sight of either eye or the hearing in either ear, permanent disfiguration of the head or face, and fracture or dislocation of a bone."
"Can I check with you, under Section 506, criminal offense , can the police charge me if the person was not hurt in the process and there was no eye witness and cctv.","Yes, you may be charged. A mere threat to inflict bodily injury, property damage, or damage to reputation upon another, when accompanied by an intention to cause alarm or to coerce the victim to do something he is not legally bound to do, may amount to criminal intimidation under section 503 of the Penal Code. It matters not that there was no eye witness or CCTV recording."
"On a Tioman trip with friends and lecturer, I (male) found a spy cam belonging to lecturer. It has images of me in toilet. Will police take up case? Or will have to sue?","We are unable to advise on whether the police will take up the case as that would depend on matters of evidence and their assessment of the strength of the case. This is independent of your choice to sue. Further, the remedies under both are different. A police prosecution would not allow you to recover damages or obtain other remedies, if you are interested in that."
Is it legal for schools to search through students' cell phones without their prior consent or their parents? More than 50 phones were confiscated based on accusations from other students that they were used in class and then social media and messages,"It depends on the circumstances and the issues involved. There are various issues here depending on the age of the students, the agreements involved, the scope of the school's authority, the consent given by the students etc."
"I took an unattended handphone, will I be charged for theft and this is my first offence.","It is not clear based on your facts whether you will be charged for theft. This depends on your age as well as all the other factors, but this is a possibility. Depending on the circumstances, it may well be that you are given a stern warning or that you are charged for the dishonest misappropriation of property."
"18, female, Singaporean. Stole an item worth less than $20 and was caught. Pleaded guilty right away and is now on bail. First offence. Is there a chance of my friend being given a warning or will she be charged?","Yes, there is a chance."
Is catfishing a crime? What is the likely sentence if convicted,"It depends on what you were doing on the various accounts. The improper use of social media is not necessarily itself a crime but this really depends on the specific facts and how you obtained the information on the various accounts. Further, it can potentially give rise to various offences including deceit, criminal breach of trust or fraud."
Cbt charge of $900. Cant afford to pay back. Whats the likely sentence?,"This depends on the facts of your matter, including the circumstances of the CBT, as well as the accused person's criminal record. In general, the sentence should range from a fine of around S$2,000 (in default, a couple of weeks of imprisonment) to a short custodial term."
"I understand online sport and casino gambling is illegal in Singapore.May i know about game betting for example League of legend, counter strike and Dota 2. is it legal in Singapore ? http://egb.com/tables#dota","It depends. The general position is that the Remote Gaming Act does not cover games which do not, as part of the game design, enable players to receive money or money? s worth consequent to the outcome of that game. It would also generally not prohibit leader-boards, which rank and reward top players, or tournaments organised by game developers or promoters where players can win real-world prizes. Instead, it is meant to prohibit casino-style games which give players a chance to win money or real-world merchandise."
Is it an offence to do round-tripping credit card transactions on local e-commerce websites/apps to accumulate credit card points?,"it is not clear what you mean by round-tripping credit card transactions. If each purchase is legitimate, then it would not be an offence."
"If AGC decide not to charge some1 who use my IC to purchase deals, cause me monetary loss,is it considered case closed?","The prosecution case is closed. However, if you have suffered any loss, you can pursue your claim."
"Hi, can i know whether is littering a criminal or civil offence? As im being enlisted into the police force, will it affect my career in the police force?","Littering is a criminal offence. However, you have not made clear whether you were permitted to compound the offence or if you were charged in Court. If you were allowed to compound the offence, then no records will remain."
what does it means when the police told you they are waiting for advice from AGC prosecutor? Does it means the police has decide on a charge but waiting for advice wheger can proceed or they want to gives stern warning but need to seek advice?,"It means that they are waiting for AGC to decide how to proceed. The AGC is the one that decides whether to charge or warn you, not the police."
I am on bail currently. Have a sec 380. But me and my wife doesn't have the intention to steal the item. But we were confronted by the shop staff before returning it. Any advice on this?,"If you do not have any intention to steal, you can claim trial and require that the prosecution prove its case. This is a question that is dependent on the specific facts."
What will the likely sentence be for someone who has been charged for possession of 1g of Cannabis and paraphernalia?,"This depends on the specific facts of your case, including the criminal record and the specific age. The sentence is likely to be in the range of 6 months imprisonment."
I approached a prostitute but did not engage in her services. Did I commit a crime?,No.
"Is it legal to solicit donations online? The donation is going to an individual, not a registered organization.","It is, strictly speaking, not illegal although you should be mindful of what you are doing as there can be other ancillary offences."
I accidentally stumble onto an illegal website. I did not download or save anything and closed the site immediately. Do I have to report it to the authorities to prevent myself from getting into trouble?,No.
"I have made a police report 2 years ago about molested. Reported to police, but until now no news, what can i do?","You should write to the investigating officer assigned to your matter to ask for a formal update. You should also copy your request to the Commander and Head Investigator of the Police Division in question. In the event that the police decline to take any further steps, you may want to consider commencing a private prosecution if you feel strongly about the matter."
"i had being charge of missappopirate handling other property by defender . Which i denial during the investigation . What should i do , should i engage a lawyer ?",It is difficult for us to advise you without knowledge of the specific facts. You may want to consider consulting a lawyer for this.
"Is it possible to withdraw a police report that I have filed where I an the victim of a crime, such that there is no record of it?",No.
"if I make representations to AGC not to prosecute me, what documents must I prepare?","This depends on the facts of your specific case. Generally, you should submit with your representations any documents that would support the points you are making - e.g. testimonials, evidence of a supporting family, exculpatory evidence, etc."
I have been charged with outrage of modesty under Section 354(2) with a similar charge taken into consideration. What are the chances of me being able to ask permission from the judge to successfully settle it out of court? I have no previous criminal rec,"If you want to compound such a case, you will need to obtain the consent of the victim, the prosecutor as well as the judge. If the prosecution objects, then you will have to apply to the Court for its consent. The chances of success depends on the specific facts of your offence."
penal code 294 is not in the first second and third schedule of the Registration of criminal act. does it mean that i am criminal free after conviction?,This means that your conviction under s 294 PC is not recorded in the Register of Criminals. It does not mean that you have not been convicted.
what is the penalty for obstruction of justice?,"It is not clear what you mean by obstruction of justice. The Penal Code provides that ""Whoever intentionally obstructs, prevents, perverts or defeats the course of justice shall be punished with imprisonment for a term which may extend to 7 years, or with fine, or with both."""
"If I'm jailed for traffics offence, will I have a criminal record? Do I have to declare when applying for jobs?","Yes, that will constitute a criminal record, which will have to be declared if the employment form asks for it."
what and how long is the sentence for drug consumption?,"Smoking, self-administering or consuming a controlled drug or a drug specified in the Fourth Schedule of the Singapore Misuse of Drugs Act is punishable upon conviction as follows: a maximum of 10 years jail term or $20,000 or both."
What happens if I fail to attend a criminal court mentions hearing? Can I produce a medical certificate to excuse my attendance?,"If you fail to attend a Court mentions or hearing, a Warrant of Arrest will be issued by the Court. If you are on bail, your surety may have his bail money or property forfeited by the Court. A medical certificate will not be accepted unless: (a) it contains the name of the medical practitioner who issued the certificate; (b) states the name of the hospital/clinic in which he practices; (c) indicates that the person to whom the certificate is issued is unable to attend Court; (d) specifies the date(s) on which he is unfit to attend Court; (e) it is signed in full by the medical practitioner and must not be merely initialled; and (f) it is authenticated by a rubber stamp showing the medical practitioner's full name and designation in the hospital or clinic."
What is mitigation?,"A plea in mitigation refers to facts that may tend to reduce the sentence or persuade the court to be lenient when imposing sentence. Such facts may include, family background, educational qualification, medical history, employment history and other relevant factors which led to the offence."
"I have been charged with a serious criminal offence, should I engage a lawyer?","Self-representation should not be taken lightly. A criminal case may have severe consequences. If you do not have a lawyer, you will have to prepare your case and do the legal research to represent yourself which may not be easy. Even if you choose to represent yourself in court or have no choice as a result of circumstances, it is advisable to start speak to a lawyer to help you understand the law and the procedures that might apply to your case. Ask what it would cost to hire a lawyer to handle it for you. In some instances you may be eligible to obtain free (pro bono) legal advice or representation."
How do I start a criminal action?,"The prosecution of criminals is an action by the State against an individual. The decision of whether to charge an individual with a crime lies with the Attorney General's Chambers (""AGC""). If you suspect a crime has been committed, please make a report to the Police. They will investigate the matter and forward the results of their investigations to the AGC, who will decide whether a charge should be made. If either the Police or the AGC is of the view that no charges should be made but you remain of the view that a crime has been committed, you can file a Magistrate's Complaint. Information on how that is done can be found at this page: http://app.subcourts.gov.sg/criminal/page.aspx?pageid=10028"
"Hi, I wasn't able to attend hearing previously, now State Courts issued a WRIT against me. But I have a genuine case against this personnel, and i need a fair hearing. What do I do now? Thank you.",You will have to attend Court and make your submissions.
"Hi, IRAS has charged me for a criminal case on 27th Jan 2017 @ Court 23 @0900hrs. I want a pro bono lawyer. My income is $0. Please advice.","If the charge you are facing meets certain requirements, you may apply for a pro bono lawyer under the Criminal Legal Aid Scheme. You may visit http://probono.lawsociety.org.sg/Pages/Criminal-Legal-Aid-Scheme.aspx for more information."
"If a person is charged with cannabis offence for the 1st time of consuming it, can a lawyer meet him in rehab while waiting the cannabis tests results",Yes.
How do I submit a mitigation plea before the hearing?,"A mitigation plea can be made in writing and sent to the Court a few days prior to the hearing of the matter. Remember to state clearly the charge number so the Court has a reference, and also attention the plea to the Judge who will be hearing the case (if you know who that is)"
Hi.What is the outcome if i falsify furnishing a driver details and if i have 9 charges.Do i get a fine or jailed?As the prosecutor told the judge to include a jailed term for me.Haiz,"Pursuant to section 177 of the Penal Code, when a person is legally bound to give information to any public servant but knowingly furnishes false information instead, he may become liable for a fine of up to $5,000, imprisonment of up to 6 months, or both. The judge will decide your sentence after hearing the submissions from both the prosecution and the defence. Examples of considerations that the judge would likely take into account include aggravating factors such as whether you have committed a repeated offence; and mitigating factors such as remorse or your personal circumstances."
"Without CCTV camera's or witnesses, how does a IO prove and affray charge without reasonable doubt? If unable to, what are the possible scenarios of charges and probability of dismissal or a charge or a stern warning given?","Potentially, they may prove the charge via indirect or circumstantial evidence which, taken in totality, lead to an irresistible finding of guilt. If they are unable to prove a criminal charge beyond reasonable doubt, then the accused cannot be convicted of that particular charge; whether the accused is eventually convicted of another charge really depends on the circumstances."
"I was tricked and forced into criminal activities such as loansharking, harassment etc. while I was working overseas. I tried to escape but was caught and ended up paying a ransom in order to leave. Am I culpable for the crimes they make me partake in at","You may be found not culpable if you were compelled to commit the offence by threats, which at the time of the commission of the offence, reasonably caused the apprehension that instant death (whether to you or another person) would otherwise result. This is provided that you did not commit murder or offences against the State punishable with death, and that you did not place yourself in such a situation of your own accord or based on threats short of instant death. Even if you fall short of this defence, the fact that you were tricked and forced may be regarded by the court as a mitigating factor and hence you may receive a lesser sentence. Though another country's laws may apply if the crimes were committed overseas."
Hi I need an advice. My 12 year old son recently got caught by the police for taking drug. Will they give my son probation or charge him in court? I need to know do I need a lawyer so he can get probation. As a parent doing time is the last place we want,"A lawyer would best present your son's circumstances and to plead on behalf of your son for a more suitable punishment. Depending on the circumstances, probation may or may not be appropriate. It is best to seek legal advice for this matter, and the Legal Aid Bureau's services may be available should you qualify for it."
I am 17 and charged with drug trafficking and consumption of drugs. What are the likeliest sentence given if I'm convicted?,"In determining the sentencing, the court may consider various factors, such as amount and the kind of drugs, your age, whether you committed any crime before, etc."
"my bf did a criminal offense under section 435 penal code(chap224). he was remanded in imh for 2 weeks, as he did his offense with no bad intentions.now he is custody for 3 wks in prison for further assesments. is he likely to get probation or rtc?",It would depend on the facts of the case and surrounding circumstances. The Public Prosecutor has the discretion to decide.
"Ive been charged with section 406 criminal breach of trust. Im a mother of 4, age from 9 to 3 months old. My 3 months old is currently fully breastfed. May i ask what should i do to get a lighter sentence of fine only?","If convicted, you may face imprisonment for up to 7 years, or with fine, or with both. Your sentence will depend on the facts of your case. The Court will take into account mitigating factors (e.g. your child needs to be breastfed; you are the sole carer of the children), but it is not uncommon for a custodial sentence to imposed, even in such cases."
if i am 16 and i convicted to the Moneylender's Act (Cap. 188) [Sections 14 & 28] . will i have chance to get probation??,"Given your age and the offense for which you have been convicted (provided that you have not previously been convicted of any offense for which the sentence is fixed by law), under section 5 of the Probation of Offenders Act, the court has the discretion to make a probation order instead of sentencing you."
"My friend had been charged section 380 and have admited and shown regret to the crime made when recording statement. She've been asked to visit the IO 2 weeks ltr,She has a clean record, what will the possible charges be?Is there any way to help to re","The possible charges are section 380. This may potentially be reduced to section 379, and she may seek probation or community sentencing depending on the specific facts."
"My father is a loanshark runner. He only collect money but no harassment and never use any bank account. Only for two weeks and he also became an informer, what is his penalty?","This depends on the specific facts of your father's case. Generally speaking, such acts would constitute an offence under section 14 of the Moneylenders Act. The penalty provided would be shall on conviction be punished with a fine of not less than $30,000 and not more than $300,000 and with imprisonment for a term not exceeding 4 years. In addition, he shall also be liable to be punished with caning with not more than 6 strokes."
I have been charged for Hiring worker without permit and I'm on bail. The case is still investigating. And I'm doing business without license in HDB. What is the sentence if I am convicted?,"The employment of a foreign worker without a permit is an offence which renders you upon conviction to a fine of not less than $5,000 and not more than $30,000 or to imprisonment for a term not exceeding 12 months or to both."
"If my relative is sentence to 8 weeks imprisonment, how long does he need actually to serve after deduction of good behavior?","On the assumption that he qualifies for remission, he is likely to be released after he serves 2/3 of his sentence."
Given probation for carnal connection 12yrs ago.Is it consider conviction & have criminal record?ask coz job application,"No, it is not considered a conviction: see s 11 of the Probation of Offenders Act."
I have been charged for simple hurt , what is the likely sentence if I am convicted?
I have been charged for outrage of modesty or molest , what is the likely sentence if I am convicted?
I have been charged for theft in dwelling, what is the likely sentence if I am convicted?
I have been charged for simple theft, what is the likely sentence if I am convicted?
"My ex company lodged a police report against me that I took $10k from the company which I only admitted $3500 on a confession letter written by me and requested by the ex company. They threathen me and my family, and requested to pay remaining $6500 or el","Regardless of whether you owe the remaining $6,500, the threats from the company towards you and your family may constitute harassment. Furthermore, if you only took $3,500 and the company does not have evidence proving that you took $10,000 from it, then you may ignore the threats that have been made."
Is consensual fight legal in Singapore?,"The defence of consent under section 87 of the Penal Code covers acts not intended and not known to be likely to cause death or grievous hurt, done to any person above 18 years of age, who has given consent. If the participants are fencing or sparring for amusement and act in fair play, then it is likely legal.Section 87 of the Penal Code provides an illustration of this defence:-A and Z agree to fence with each other for amusement. This agreement implies the consent of each to suffer any harm which, in the course of such fencing, may be caused without foul play; and if A, while playing fairly, hurts Z, A commits no offence."
Is infecting someone with a non- life threatening STD considered a criminal offence?,Section 269 and 270 of the Penal Code refer only to diseases that are dangerous to life. It is technically not a criminal offence under the Penal Code or the Infectious Diseases Act.
i am a bankrucy. debtor collector harrass me and my house frequently. my company already ceased trading for about last 2 to 3 years and there is no bank account. Police reported several times but not helping. cctv was captured of their action of harassmen,"Depending on the acts of the debt collectors, you may have a claim against them for harassment or trespass."
Is throwing water at someone's face considered assault/battery?,You may face the criminal action and/or an action in tort for battery.
Can I go to the police if a relative is harassing me in my workplace and making calls everyday to threaten me?,"Yes, you can."
Husband & Wife are separated. Wife moved out of the house but weeks later visited to plant a hidden camera in his bedroom to capture intimate acts with other women. Husband found wires in the air conditioner in the room. Wife admitted to planting survellience,"Under section 7 of the Protection from Harassment Act, it is an offence to unlawfully stalk a party. This includes placing a party under surveillance by planting a hidden camera."
Can parents make police report to charge 18 year old daughter for going oversea without permission ?,"No, it is not an offence to leave the country without parental permission."
"Hi, I was jailed for 8 weeks for the offence of Insulting the Modesty of a woman (Section 509). The judges took in consideration of Criminal Trepassing and possession of obscene materials. Do I get a criminal record for this offence and how can I appeal against it?",You will have a criminal record and you will have to file a notice of appeal with the court registry within 14 days after the date of sentence.
"My friend and his relative started a small shop without any legal documents and only based on trust. Due to some miss understanding, my friend was assaulted by his relative and his eyes are affected. What is the course of action police will take on this c","They may charge your friend? s relative with the criminal offence of voluntarily causing hurt or voluntarily causing grievous hurt, depending on the severity and permanency of the eye injury."
I was accused of theft and admit it.  but the victims agreed out of court settlement and drop the case. Will i still be charged and sentenced,"Large degree of discretion is given to the public prosecutors. Hence, the chance of being charged and sentenced is still there."
"I have a case TIC of under age sex in 7year ago so now if I got a flash charge of possession of weapon will they bring out my old TIC case? Because I not sure how TIC work and mean, cause issit similar case den they will drag out my TIC sex case? Cause se","Your old TIC case is unlikely to be invoked; TIC cases are outstanding offences (i.e. that were not proceeded with against you) that were taken into consideration for sentencing purposes regarding your principal charge seven years ago. It may potentially be admissible under the Evidence Act as evidence of bad character (if you try to adduce good character evidence) but the fact that your present offence is unrelated to your past case diminishes the latter? s relevance, if any."
"Hi, I would just like to ask if I was charged in court for section 509 insulting the modesty of a women, and jailed 4 weeks. Is it a registrable offence? Do I have a criminal record? And if so, can it be rendered spent after five years?","The offence with which you were charged is not a registrable offence. As such, you will not be registered on the relevant Register."
I am being falsely accused of rape for consensual sex which happened 1.5 years ago. The complainant forwarded a photo of a police report. What must I do next?,"There is nothing that you need to do. The police will investigate into this matter and you will be invited to give your statement to the police. If you are concerned, we would recommend that you consult a lawyer who specialises in such work before you speak to the police."
Are photos and police report good enough to get a PPO? I did not get checked up at the hospital because it was only a slap and scratch.,"It depends on the surrounding facts. If the injury is minor, the Court may be more hesitant in granting a PPO."
Is mercy killing an offence? My in-law is suffering from terminal illness for almost 2 years and in semi coma. She needs full time attention every day and night. Her children can't see her suffer anymore and have no time to care.,"Yes, this is an offence."
"My younger brother,who is 15 y/o has been accused by school of looking at a 8yo kid's private parts in a toilet. Is such an act, where w/o intent, illegal and if so, what's the charge?If my family is unhappy with the school investigation,how can w","It is unclear what you meant by 'without intent'. Accidental glancing is not an offence, and in fact your brother will have been a victim. If he made any act to attempt to look, then intent is present for the purposes of an offence."
Is mercy killing an offence? My in-law is suffering from terminal illness for almost 2 years and in semi coma. She needs full time attention everyday and night. Her children can't see her suffer anymore and have no time to care.,Yes
"i was voluntarily beaten in restaurant I am OKU 64 year old by group of 15 persons they have pleaded guilty on the 29 april - can i ask use lawyer because the danaged my OKU 2 wheeler motor cycle, smashed my phone and stole my sim Can anyone help guide",You should request that the prosecution seeks an order of compensation from the 15 persons. That would be the most cost efficient manner of recovering your losses.
"if i provide porngraphy website link to someone, is it a criminal offence?","Depending on the specific facts (the person you are providing it to, the type of content, your country of residence etc) It can be an offence under Singapore law."
I was charged under VCH. This happens after a traffic accident. I shoved my shoulder into the other party shoulder. Both of us does not need any medical attention.What would b the likeliest outcome? Would it still be VCH if no injuries has occurred?,"It depends on the facts of the specific case and your personal circumstances. It can still be VCH even if there were no injuries at all. This is because hurt includes bodily pain, and is not limited to physical injuries."
Receiving abusive messages from my ex partner in Singapore how can I gain a personal protection order next time I visit Singapore?,You may wish to refer to this:https://www.familyjusticecourts.gov.sg/Common/Pages/FamilyViolence.aspx
Can licensed debt collectors threaten or harass debtors?,This depends on what they are doing. Licensed debt collectors are subject to the same legal constraints as everyone.
"A heated argument led to a family member wielding a chopper towards another with no intention of hurt. however due to disarming the weapon, a member got hurt with a ruptured tendon. what will happen if the victim decides to report this case?",The police will investigate the case and decide based on the evidence whether to proceed with a criminal charge against the family member who caused the injury.
I was charged under 'voluntarily causing hurt'. The incident happen when someone kick my car when I failed to stop for him at a zebra crossing. We got into a scuffle after I confront him and he file a report against me. What is the likely sentence?,"This depends on the injuries caused. If the injuries are minor, then a fine is possible. However, if the injuries are severe, then a short custodial sentence is likely, especially since this is likely to be viewed as a road rage case."
My ex girlfriend threatened to file a false rape case after we broke up. What can I do ?,You can put her threat on record by making a police report.
Is it an offence to slap a person in public in singapore ?,Without consent? Yes.
"if i slap a person face , is it an offence ?",Without consent? Yes.
my friend have a pay sex with a prostitute and have check her passport to ensure 18 before proceeding. what if she use a fake passport and she below 18. in this case is this case fightable in court??,No. He will still be liable unless he is a first time offender under the age of 21.
i am charged with insult of modesty. i placed an electronic device in the bathroom. i am first time offender.will i be fined or go to jail?,"This depends on the particular provision in the Penal Code you are charged with, and whether it provides for mandatory imprisonment. If the provision provides for mandatory imprisonment and you are found guilty, then you will go to jail. You may find out more about the provision you have been charged with here: http://statutes.agc.gov.sg/aol/home.w3p"
I've been charged with Outrage of Modesty. I am 20 years old & have no past records. What is the likeliness sentence to be dealt with & is it possible to settle the case out of court?,The sentence depends on the facts and circumstances of the case. You may wish to make representations to the DPP to explain why you should not be charged.
"I had an altercation with a customer at work. We had verbal exchanges but she threatened to slap me and beat me up which I didn't respond to. However, I did say a few vulgarities toward her. Is there any grounds for her to sue me? Btw, I'm an SPR.",Probably not.
"two guys debt management came demand for $56k becuse of what my hubby bike purchase. They came before and shut the house power supply. We notified police. Hubby did bought a bike about 20+ yrs back but already settled, did not owned bike for ages.We are very worried our ki","You may wish to highlight the fact that your husband has settled the debt to the debt collectors. If they persist in their actions, you may wish to make a further police report, or consider a harassment action against them."
I will be charged for rash act? , what is the likely sentence if I am convicted?
"I have been charged for word or gesture intended to insult the modesty of a woman, i was basically drunk texting. What is the likely sentence if I am convicted?","This depends on the specific facts of your case. However, a fine of $1,000 to $2,000 is the norm."
"Is oral sex defined as sex in Singapore? If oral sex but no penetrative sex takes place with a minor, is it still an offence?","Oral sex is not considered ""sex"". However, oral sex with a minor (under 16) with or without her consent is an offence, and it is also an offence to obtain commercial oral sex from a minor (under 18)."
What can I do if a person has my photos and personal data in his computer and mobile? He steals data through his company database as he is IT admin.,This may be regarded as theft. You may want to make a formal complaint to your company's management or make a police report.
"there is a guy who is using my pic on apps to solicit sex from guys, i made a police report but they said that if i dont intend to sue, they cant do much. Is this true? if it is, why so? Im only 19 and my family cannot afford legal help.","The police can decide whether to pursue a criminal investigation on the matter, which then may or may not lead to a criminal prosecution. Alongside that, you have the option of commencing civil proceedings, which is what the police probably meant."
"My mum hired a contractor to rebuild our house. We paid in full. 16 months later, the contractor is sending rough looking people to claim for payment for additional work done in a new invoice we did not agree to. Hiring a lawyer may cost more than the fra","It is not clear what your question is. If you are being harassed, you may want to consider making a police report. If not, you may have to consider whether you want to settle the matter with the contractor or to seek legal advice."
